,V1,V2,V3,V4,,,,,
1,,,0,0,0,0,0,0,0
2,,,0,0,0,0,0,0,0
3,,,0,0,0,0.01,0.03,0.03,0.04
4,,,0,0,0,0.08,0.19,0.2,0.24
5,,,0,0,0,0.2,0.34,0.38,0.38
6,,,0,0,0,0.24,0.38,0.41,0.42
7,,,0,0,0,0.24,0.39,0.43,0.44
8,,,0,0,0,0.25,0.4,0.43,0.43
9,,,0,0,0,0.24,0.4,0.42,0.42
