,V1,V2,V3,V4,,,,,
1,,,301.9,301.9,301.7,301.6,301.9,301.8,301.8
2,,,248.1,248,247.9,247.7,247.8,247.8,247.8
3,,,169.9,167.4,165.7,164.7,NA,NA,NA
4,,,164.8,162.2,161.6,160.3,NA,NA,NA
5,,,167.9,163.5,162.2,162.3,NA,NA,NA
6,,,170.7,166.2,163.8,163.4,NA,NA,NA
7,,,171.7,166.9,164.1,163.6,NA,NA,NA
8,,,181.1,167.1,164.3,163.6,NA,NA,NA
9,,,250.8,167.1,164.3,163.7,NA,NA,NA
