,V1,V2,V3,V4,,,,,
1,,,322.9,322.8,322.6,322.6,322.7,322.8,322.7
2,,,274.6,274.2,274,273.9,273.9,274,274
3,,,210.7,207.2,205.4,204,203.7,203.5,203.4
4,,,210.6,207,205,203.4,202.7,202.8,202.4
5,,,215.5,210.9,208.9,207.1,206.1,206,205.8
6,,,220.9,214.2,211.7,209.7,208.6,208.4,208.2
7,,,224.2,214.9,212.2,210.2,209.2,209.1,208.7
8,,,240.8,214.7,212.4,210.1,208.8,209.4,208.7
9,,,256.7,215,212.1,210.1,209.3,209,208.4
