,V1,V2,V3,V4,,,,,
1,,,322.6,322.5,322.3,322.3,322.4,322.3,322.4
2,,,274.1,273.7,273.6,273.4,273.5,273.5,273.5
3,,,210.2,206.7,204.9,203.4,203.2,203,202.8
4,,,210,206.4,204.5,202.9,202.1,202.4,201.9
5,,,214.8,210.3,208.1,206.5,205.5,205.5,205.3
6,,,220,213.5,211,209.2,208,207.9,207.5
7,,,221.7,214,211.4,209.5,208.6,208.5,208.2
8,,,228.4,214,211.6,209.5,208.2,208.8,208
9,,,269.8,214.3,211.4,209.5,208.8,208.4,207.9
