,V1,V2,V3,V4,,,,,
1,,,289,287,289.5,290.1,287.6,289.3,291
2,,,241.9,238.2,238.9,233.8,239.2,235,233.9
3,,,184,181.1,178.4,174.6,177.5,176.1,178.3
4,,,179.1,179.9,179.1,174.9,173.4,176.1,176.3
5,,,184.1,179.6,179.2,178.4,176.4,176.3,176.8
6,,,185.8,182.5,175.9,176.4,176.5,174.5,176.8
7,,,185.9,177.2,179.2,181.3,178.5,176.5,178.5
8,,,185.7,184,180.8,178.8,177.8,180.5,180.3
9,,,185.6,180.6,180.9,176.3,178.3,176.8,176.2
